ActorName;Gender;"Actor's default image source"
Fred Astaire;m;"https://m.media-amazon.com/images/M/MV5BOTU0NDYzMjA1MF5BMl5BanBnXkFtZTYwMTIzNjM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Lauren Bacall;f;"https://m.media-amazon.com/images/M/MV5BMzg2OTk3MzU0OF5BMl5BanBnXkFtZTYwMzE3MzU2._V1_UY317_CR9,0,214,317_AL_.jpg"
Brigitte Bardot;f;"https://m.media-amazon.com/images/M/MV5BODE1NDkzODExNV5BMl5BanBnXkFtZTYwMzY2NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Belushi;m;"https://m.media-amazon.com/images/M/MV5BMTU5MDcwODczOV5BMl5BanBnXkFtZTYwMTk5NzM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Ingmar Bergman;m;"https://m.media-amazon.com/images/M/MV5BMTc4MjQwMzY0N15BMl5BanBnXkFtZTcwNTI1NTM1MQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Ingrid Bergman;f;"https://m.media-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Humphrey Bogart;m;"https://m.media-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Marlon Brando;m;"https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Richard Burton;m;"https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Fred Astaire;m;"https://m.media-amazon.com/images/M/MV5BOTU0NDYzMjA1MF5BMl5BanBnXkFtZTYwMTIzNjM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Lauren Bacall;f;"https://m.media-amazon.com/images/M/MV5BMzg2OTk3MzU0OF5BMl5BanBnXkFtZTYwMzE3MzU2._V1_UY317_CR9,0,214,317_AL_.jpg"
Brigitte Bardot;f;"https://m.media-amazon.com/images/M/MV5BODE1NDkzODExNV5BMl5BanBnXkFtZTYwMzY2NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Belushi;m;"https://m.media-amazon.com/images/M/MV5BMTU5MDcwODczOV5BMl5BanBnXkFtZTYwMTk5NzM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Ingmar Bergman;m;"https://m.media-amazon.com/images/M/MV5BMTc4MjQwMzY0N15BMl5BanBnXkFtZTcwNTI1NTM1MQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Ingrid Bergman;f;"https://m.media-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Humphrey Bogart;m;"https://m.media-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Marlon Brando;m;"https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Richard Burton;m;"https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Fred Astaire;m;"https://m.media-amazon.com/images/M/MV5BOTU0NDYzMjA1MF5BMl5BanBnXkFtZTYwMTIzNjM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Lauren Bacall;f;"https://m.media-amazon.com/images/M/MV5BMzg2OTk3MzU0OF5BMl5BanBnXkFtZTYwMzE3MzU2._V1_UY317_CR9,0,214,317_AL_.jpg"
Brigitte Bardot;f;"https://m.media-amazon.com/images/M/MV5BODE1NDkzODExNV5BMl5BanBnXkFtZTYwMzY2NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Belushi;m;"https://m.media-amazon.com/images/M/MV5BMTU5MDcwODczOV5BMl5BanBnXkFtZTYwMTk5NzM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Ingmar Bergman;m;"https://m.media-amazon.com/images/M/MV5BMTc4MjQwMzY0N15BMl5BanBnXkFtZTcwNTI1NTM1MQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Ingrid Bergman;f;"https://m.media-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Humphrey Bogart;m;"https://m.media-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Marlon Brando;m;"https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Richard Burton;m;"https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
James Cagney;m;"https://m.media-amazon.com/images/M/MV5BMTcyNDY5NTgxNV5BMl5BanBnXkFtZTYwNzY4MzQ2._V1_UY317_CR14,0,214,317_AL_.jpg"
Fred Astaire;m;"https://m.media-amazon.com/images/M/MV5BOTU0NDYzMjA1MF5BMl5BanBnXkFtZTYwMTIzNjM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Lauren Bacall;f;"https://m.media-amazon.com/images/M/MV5BMzg2OTk3MzU0OF5BMl5BanBnXkFtZTYwMzE3MzU2._V1_UY317_CR9,0,214,317_AL_.jpg"
Brigitte Bardot;f;"https://m.media-amazon.com/images/M/MV5BODE1NDkzODExNV5BMl5BanBnXkFtZTYwMzY2NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Belushi;m;"https://m.media-amazon.com/images/M/MV5BMTU5MDcwODczOV5BMl5BanBnXkFtZTYwMTk5NzM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Ingmar Bergman;m;"https://m.media-amazon.com/images/M/MV5BMTc4MjQwMzY0N15BMl5BanBnXkFtZTcwNTI1NTM1MQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Ingrid Bergman;f;"https://m.media-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Humphrey Bogart;m;"https://m.media-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Marlon Brando;m;"https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Richard Burton;m;"https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
